iter	Passed	Remaining
192	396	1656
193	397	1651
194	398	1645
195	399	1640
196	401	1635
197	402	1630
198	403	1626
199	405	1620
200	406	1615
201	407	1610
202	409	1606
203	411	1604
204	412	1600
205	413	1595
206	415	1590
207	416	1585
208	417	1581
209	419	1576
210	420	1571
211	421	1567
212	422	1562
213	424	1558
214	425	1553
215	426	1549
216	428	1547
217	430	1544
218	431	1539
219	433	1535
220	434	1530
221	435	1526
222	436	1522
223	438	1517
224	439	1513
225	440	1509
226	442	1505
227	443	1500
228	444	1495
229	445	1491
230	446	1487
231	448	1485
232	450	1481
233	451	1477
234	452	1473
235	453	1469
236	455	1465
237	456	1460
238	457	1456
239	459	1453
240	460	1450
241	461	1446
242	463	1443
243	464	1440
244	467	1440
245	469	1438
246	470	1434
247	472	1431
248	473	1428
249	475	1425
250	476	1421
251	477	1417
252	479	1414
253	480	1410
254	481	1407
255	482	1403
256	485	1402
257	487	1401
258	488	1398
259	490	1394
260	491	1391
261	492	1387
262	494	1385
263	496	1383
264	497	1379
265	498	1376
266	500	1373
267	501	1369
268	503	1368
269	505	1367
270	507	1363
271	508	1360
272	509	1357
273	510	1353
274	512	1350
275	514	1348
276	515	1345
277	516	1342
278	518	1339
279	519	1336
280	521	1334
281	523	1333
282	525	1330
283	526	1327
284	527	1324
285	529	1320
286	530	1317
287	531	1314
288	532	1311
289	534	1308
290	535	1305
291	537	1303
292	539	1301
293	541	1300
294	542	1297
295	544	1294
296	545	1291
297	546	1288
298	548	1285
299	549	1282
300	550	1279
301	552	1275
302	553	1273
303	554	1270
304	555	1266
305	557	1264
306	562	1268
307	563	1265
308	564	1263
309	566	1260
310	567	1257
311	568	1254
312	570	1251
313	571	1248
314	572	1245
315	573	1241
316	575	1239
317	576	1236
318	578	1234
319	579	1232
320	581	1229
321	582	1226
322	583	1223
323	584	1220
324	586	1217
325	587	1214
326	588	1211
327	590	1208
328	591	1206
329	592	1203
330	594	1200
331	595	1198
332	597	1197
333	599	1195
334	600	1192
335	602	1190
336	604	1188
337	605	1186
338	607	1183
339	608	1181
340	610	1179
341	611	1177
342	614	1176
343	616	1175
344	617	1172
345	618	1169
346	620	1167
347	621	1164
348	622	1161
349	623	1158
350	624	1155
351	626	1152
352	627	1150
353	628	1147
354	629	1144
355	631	1141
356	633	1141
357	635	1139
358	637	1137
359	638	1134
360	639	1132
361	641	1130
362	642	1127
363	643	1124
364	645	1122
365	646	1119
366	647	1117
367	648	1114
368	650	1112
369	653	1112
370	655	1111
371	657	1109
372	658	1107
373	660	1104
374	661	1102
375	662	1099
376	663	1096
377	665	1094
378	666	1091
379	667	1089
380	669	1087
381	671	1085
382	673	1085
383	674	1082
384	676	1080
385	678	1078
386	679	1076
387	680	1073
388	682	1071
389	683	1068
390	684	1066
391	686	1064
392	687	1061
393	690	1061
394	692	1060
395	693	1057
396	695	1055
397	696	1053
398	698	1051
399	699	1049
400	700	1046
401	702	1044
402	703	1042
403	705	1040
404	706	1038
405	709	1038
406	711	1036
407	713	1034
408	714	1032
409	715	1030
410	717	1028
411	718	1025
412	720	1023
413	721	1021
414	723	1019
415	724	1017
416	727	1017
417	729	1016
418	731	1014
419	732	1011
420	734	1009
421	735	1007
422	737	1005
423	738	1003
424	739	1001
425	741	998
426	742	996
427	747	999
428	749	997
429	750	995
430	752	993
431	753	990
432	754	988
433	756	986
434	757	984
435	759	982
436	760	979
437	761	977
438	765	978
439	767	976
440	768	974
441	769	972
442	771	969
443	772	967
444	774	965
445	775	963
446	777	961
447	778	959
448	779	956
449	782	956
450	784	955
451	786	953
452	787	950
453	788	948
454	790	946
455	791	944
456	792	942
457	794	939
458	795	937
459	796	935
